top - 13:27:55 up 1 day,  4:11,  4 users,  load average: 2,15, 2,54, 2,66
Tasks: 275 total,   2 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s): 41,7 us,  6,7 sy,  0,0 ni, 51,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15817,2 total,   1891,0 free,   6145,4 used,   7780,8 buff/cache
MiB Swap:   4096,0 total,   4085,4 free,     10,6 used.   7643,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2213 leksil    20   0 1130,1g 163036 116676 S   0,0   1,0   1:14.92 msedge
   2236 leksil    20   0 1130,0g 128248  95656 S   0,0   0,8   2:00.01 msedge
   2245 leksil    20   0 1130,0g 326108 109156 S   0,0   2,0   4:33.80 msedge
   2278 leksil    20   0 1130,0g 130172  87792 S   0,0   0,8   0:35.53 msedge
   2293 leksil    20   0  899384 149288 129396 S   0,0   0,9   0:19.66 plasma-browser-
   2369 leksil    20   0   32,5g  75856  59872 S   0,0   0,5   1:30.70 msedge
   9414 leksil    20   0 1130,0g 165076 121292 S   0,0   1,0   2:59.14 msedge
   9427 leksil    20   0 1129,9g  78352  50064 S   0,0   0,5   0:15.79 msedge
  16347 leksil    20   0 2027200 250604 178188 S   0,0   1,5   0:13.61 krunner
  17221 root      20   0  894692 104500  21432 S   0,0   0,6   0:05.04 pamac-daemon
  20687 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tls-strp
  26616 leksil    20   0   13472   9856   4812 S   0,0   0,1   0:02.11 zsh
  26620 leksil    20   0    9796   4000   1944 S   0,0   0,0   0:00.00 zsh
  26650 leksil    20   0   12760   6060   1684 S   0,0   0,0   0:00.00 zsh
  26651 leksil    20   0   12744   5812   1456 S   0,0   0,0   0:00.13 zsh
  26653 leksil    20   0    3456   1740   1616 S   0,0   0,0   0:00.48 gitstatusd-linu
  27339 leksil    20   0 1130,0g 247492 125764 S   0,0   1,5   0:33.92 msedge
  27354 leksil    20   0 1130,0g 179680 108104 S   0,0   1,1   0:01.82 msedge
  27378 leksil    20   0 1130,0g 158644 119312 S   0,0   1,0   0:02.80 msedge
  27389 leksil    20   0 1130,0g 122888  96744 S   0,0   0,8   0:00.78 msedge
  27405 leksil    20   0 1130,0g 180752 119836 S   0,0   1,1   0:07.44 msedge
  27425 leksil    20   0 1130,0g 133060  97892 S   0,0   0,8   0:00.61 msedge
  27450 leksil    20   0 1130,0g 132940  98704 S   0,0   0,8   0:00.51 msedge
  27462 leksil    20   0 1131,0g 165096 111532 S   0,0   1,0   0:01.81 msedge
  27476 leksil    20   0 1130,0g 162076 111172 S   0,0   1,0   0:01.49 msedge
  27489 leksil    20   0 1130,0g 255860 139052 S   0,0   1,6   0:30.18 msedge
  27501 leksil    20   0 1130,0g 195464 115708 S   0,0   1,2   0:11.95 msedge
  27518 leksil    20   0 1130,0g 192584 114692 S   0,0   1,2   0:03.68 msedge
  27549 leksil    20   0 1130,0g 162568 115040 S   0,0   1,0   0:01.45 msedge
  27561 leksil    20   0 1130,0g 233008 118264 S   0,0   1,4   0:33.30 msedge
  27588 leksil    20   0 1130,0g 185892 114076 S   0,0   1,1   0:04.59 msedge
  27616 leksil    20   0 1130,0g 257636 125508 S   0,0   1,6   0:51.17 msedge
  27635 leksil    20   0 1130,0g 273004 131712 S   0,0   1,7   1:08.12 msedge
  27663 leksil    20   0 1130,0g 119528  90020 S   0,0   0,7   0:00.88 msedge
  27677 leksil    20   0 1131,0g 208304 120656 S   0,0   1,3   0:34.05 msedge
  31196 leksil    20   0 1131,0g 211936 128288 S   0,0   1,3   0:29.24 msedge
  31238 leksil    20   0 1130,0g 122072  90396 S   0,0   0,8   0:00.58 msedge
  31273 leksil    20   0 1130,0g 266984 124548 S   0,0   1,6   2:04.83 msedge
  31316 leksil    20   0 1130,0g 162200 119404 S   0,0   1,0   0:04.38 msedge
  33502 root       0 -20       0      0      0 I   0,0   0,0   0:12.59 kworker/u9:2-hci0
  40743 root      20   0       0      0      0 I   0,0   0,0   0:01.42 kworker/u8:34-btrfs-endi+
  40770 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/128-mei_me
  41211 leksil    20   0 1131,0g 170032 114208 S   0,0   1,0   0:03.38 msedge
  41513 leksil    20   0 2957172 387140 280168 S   0,0   2,4   5:06.30 DesktopEditors
  41516 leksil    20   0  332532 114120 104520 S   0,0   0,7   0:00.02 editors_helper
  41529 leksil    20   0  739716 182364 138100 S   0,0   1,1   4:16.84 editors_helper
  41543 leksil    20   0  848808 128564 114248 S   0,0   0,8   0:00.09 editors_helper
  41547 leksil    20   0 1265108 175560 137164 S   0,0   1,1   0:01.40 editors_helper
  42220 root      20   0       0      0      0 I   0,0   0,0   0:01.50 kworker/u8:0-btrfs-worker
  44553 root      20   0       0      0      0 I   0,0   0,0   0:01.07 kworker/3:0-events
  46879 root      20   0       0      0      0 I   0,0   0,0   0:00.94 kworker/u8:3-btrfs-endio+
  48188 root      20   0       0      0      0 I   0,0   0,0   0:00.80 kworker/u8:5-btrfs-endio+
  49525 root       0 -20       0      0      0 I   0,0   0,0   0:02.93 kworker/u9:0-hci0
  50056 root      20   0       0      0      0 I   0,0   0,0   0:00.60 kworker/u8:6-events_unbo+
  50174 root       0 -20       0      0      0 I   0,0   0,0   0:02.58 kworker/u9:1-hci0
