Parent: i = 192, pid = 37293, ppid = 34467
Par ppid = 37293
Child 1: i = 189, pid = 37294, ppid = 37293
Child 1: i = 190, pid = 37294, ppid = 37293
Child 1: i = 191, pid = 37294, ppid = 37293
Child 1: i = 192, pid = 37294, ppid = 37293
Child 1: i = 193, pid = 37294, ppid = 37293
Child 1: i = 194, pid = 37294, ppid = 37293
Child 1: i = 195, pid = 37294, ppid = 37293
Child 1: i = 196, pid = 37294, ppid = 37293
Child 1: i = 197, pid = 37294, ppid = 37293
Child 1: i = 198, pid = 37294, ppid = 37293
Child 1: i = 199, pid = 37294, ppid = 37293
Завершение процесса 1
= 37295, ppid = 37293
Child 2: i = 96, pid = 37295, ppid = 37293
Child 2: i = 97, pid = 37295, ppid = 37293
Child 2: i = 98, pid = 37295, ppid = 37293
Child 2: i = 99, pid = 37295, ppid = 37293
Child 2: i = 100, pid = 37295, ppid = 37293
Child 2: i = 101, pid = 37295, ppid = 37293
Child 2: i = 102, pid = 37295, ppid = 37293
Child 2: i = 103, pid = 37295, ppid = 37293
Child 2: i = 104, pid = 37295, ppid = 37293
Child 2: i = 105, pid = 37295, ppid = 37293
Child 2: i = 106, pid = 37295, ppid = 37293
Child 2: i = 107, pid = 37295, ppid = 37293
Child 2: i = 108, pid = 37295, ppid = 37293
Child 2: i = 109, pid = 37295, ppid = 37293
Child 2: i = 110, pid = 37295, ppid = 37293
Child 2: i = 111, pid = 37295, ppid = 37293
Child 2: i = 112, pid = 37295, ppid = 37293
Child 2: i = 113, pid = 37295, ppid = 37293
Child 2: i = 114, pid = 37295, ppid = 37293
Child 2: i = 115, pid = 37295, ppid = 37293
Child 2: i = 116, pid = 37295, ppid = 37293
Child 2: i = 117, pid = 37295, ppid = 37293
Child 2: i = 118, pid = 37295, ppid = 37293
Child 2: i = 119, pid = 37295, ppid = 37293
Child 2: i = 120, pid = 37295, ppid = 37293
Child 2: i = 121, pid = 37295, ppid = 37293
Child 2: i = 122, pid = 37295, ppid = 37293
Child 2: i = 123, pid = 37295, ppid = 37293
Child 2: i = 124, pid = 37295, ppid = 37293
Child 2: i = 125, pid = 37295, ppid = 37293
Child 2: i = 126, pid = 37295, ppid = 37293
Child 2: i = 127, pid = 37295, ppid = 37293
Child 2: i = 128, pid = 37295, ppid = 37293
Child 2: i = 129, pid = 37295, ppid = 37293
Child 2: i = 130, pid = 37295, ppid = 37293
Child 2: i = 131, pid = 37295, ppid = 37293
Child 2: i = 132, pid = 37295, ppid = 37293
Child 2: i = 133, pid = 37295, ppid = 37293
Child 2: i = 134, pid = 37295, ppid = 37293
Child 2: i = 135, pid = 37295, ppid = 37293
Child 2: i = 136, pid = 37295, ppid = 37293
Child 2: i = 137, pid = 37295, ppid = 37293
Child 2: i = 138, pid = 37295, ppid = 37293
Child 2: i = 139, pid = 37295, ppid = 37293
Child 2: i = 140, pid = 37295, ppid = 37293
Child 2: i = 141, pid = 37295, ppid = 37293
Child 2: i = 142, pid = 37295, ppid = 37293
Child 2: i = 143, pid = 37295, ppid = 37293
Child 2: i = 144, pid = 37295, ppid = 37293
Child 2: i = 145, pid = 37295, ppid = 37293
Child 2: i = 146, pid = 37295, ppid = 37293
Child 2: i = 147, pid = 37295, ppid = 37293
Child 2: i = 148, pid = 37295, ppid = 37293
Child 2: i = 149, pid = 37295, ppid = 37293
Child 2: i = 150, pid = 37295, ppid = 37293
Child 2: i = 151, pid = 37295, ppid = 37293
Child 2: i = 152, pid = 37295, ppid = 37293
Child 2: i = 153, pid = 37295, ppid = 37293
Child 2: i = 154, pid = 37295, ppid = 37293
Child 2: i = 155, pid = 37295, ppid = 37293
Child 2: i = 156, pid = 37295, ppid = 37293
Child 2: i = 157, pid = 37295, ppid = 37293
Child 2: i = 158, pid = 37295, ppid = 37293
Child 2: i = 159, pid = 37295, ppid = 37293
Child 2: i = 160, pid = 37295, ppid = 37293
Child 2: i = 161, pid = 37295, ppid = 37293
Child 2: i = 162, pid = 37295, ppid = 37293
Child 2: i = 163, pid = 37295, ppid = 37293
Child 2: i = 164, pid = 37295, ppid = 37293
Child 2: i = 165, pid = 37295, ppid = 37293
Child 2: i = 166, pid = 37295, ppid = 37293
Child 2: i = 167, pid = 37295, ppid = 37293
Child 2: i = 168, pid = 37295, ppid = 37293
Child 2: i = 169, pid = 37295, ppid = 37293
Child 2: i = 170, pid = 37295, ppid = 37293
Child 2: i = 171, pid = 37295, ppid = 37293
Child 2: i = 172, pid = 37295, ppid = 37293
Child 2: i = 173, pid = 37295, ppid = 37293
